"year","sic2","citeWeightedPatents","LernerComplement"
1973,22,3.03623080253601,0.942290425300598
1974,22,3.18983149528503,0.944933116436005
1975,22,2.08290719985962,0.952538907527924
1976,22,2.33911442756653,0.951016843318939
1977,22,2.20244646072388,0.953525185585022
1978,22,8.19474983215332,0.959064424037933
1979,22,3.3899998664856,0.963115632534027
1980,22,3.07943391799927,0.976393222808838
1981,22,2.93823456764221,0.989346146583557
1982,22,1.87485039234161,0.985572278499603
1983,22,1.40766096115112,0.988467872142792
1984,22,1.37531554698944,0.981888651847839
1985,22,1.6429957151413,0.977167129516602
1986,22,2.34258460998535,0.972567617893219
1987,22,2.46254467964172,0.968554496765137
1988,22,1.15305161476135,0.965302050113678
1989,22,1.0092146396637,0.960262179374695
1990,22,1.96826446056366,0.968191504478455
1991,22,0.470270931720734,0.99407148361206
1992,22,1.6811774969101,0.993679761886597
1993,22,1.31134974956512,0.991497576236725
1994,22,2.86215472221375,0.987236618995667
1973,23,2.50042533874512,0.883546710014343
1974,23,6.02335262298584,0.890642881393433
1975,23,12.5299892425537,0.914173364639282
1976,23,4.10771322250366,0.891552448272705
1977,23,2.33674216270447,0.917328059673309
1978,23,8.09946250915527,0.931461751461029
1979,23,4.70833349227905,0.926777243614197
1980,23,1.31225883960724,0.932299613952637
1981,23,3.30954933166504,0.951220512390137
1982,23,3.24493336677551,0.954596102237701
1983,23,0.648264944553375,0.947793900966644
1984,23,2.48320865631104,0.911950469017029
1985,23,8.5083703994751,0.936546742916107
1986,23,7.29295206069946,0.940901458263397
1987,23,4.73566293716431,0.929536640644073
1988,23,7.20657253265381,0.91707319021225
1989,23,3.56193351745605,0.908462584018707
1973,24,2.17894196510315,0.932608723640442
1974,24,5.11439561843872,0.952383458614349
1975,24,2.99882864952087,0.963349282741547
1976,24,5.09185266494751,0.96338427066803
1977,24,4.05816650390625,0.955608367919922
1978,24,3.12332201004028,0.954467296600342
1979,24,3.61447834968567,0.963265299797058
1980,24,3.49935674667358,0.969159662723541
1981,24,4.32663059234619,0.985050082206726
1982,24,4.11024856567383,0.977059543132782
1983,24,7.18236398696899,0.964752316474915
1984,24,6.73331594467163,0.954264581203461
1985,24,5.89229106903076,0.948872208595276
1986,24,4.41997051239014,0.934109091758728
1987,24,7.45866918563843,0.926702737808228
1988,24,3.99964785575867,0.915995717048645
1989,24,4.40294551849365,0.901398062705994
1990,24,4.92066097259521,0.924940407276154
1991,24,3.69498562812805,0.960539221763611
1992,24,4.95013380050659,0.980802834033966
1993,24,4.07975482940674,0.985397100448608
1994,24,4.84364652633667,0.969033598899841
1973,25,35.5829734802246,0.92002922296524
1974,25,34.6261177062988,0.922483086585999
1975,25,30.8949108123779,0.948970675468445
1976,25,29.4263877868652,0.93778795003891
1977,25,27.7185955047607,0.940027356147766
1978,25,25.16575050354,0.942516386508942
1979,25,29.8699321746826,0.950139760971069
1980,25,24.3339862823486,0.96662312746048
1981,25,23.2848243713379,0.973600327968597
1982,25,22.9225425720215,0.968767583370209
1983,25,21.1861534118652,0.968557596206665
1984,25,18.3784732818604,0.953960359096527
1985,25,18.1623668670654,0.947633385658264
1986,25,21.8618564605713,0.934257328510284
1987,25,24.479736328125,0.921692788600922
1988,25,22.4179859161377,0.896995425224304
1989,25,29.4354228973389,0.892839014530182
1990,25,24.3428001403809,0.902383923530579
1991,25,26.8390331268311,0.917534649372101
1992,25,26.9158210754395,0.916463971138
1993,25,25.0030689239502,0.922209620475769
1994,25,18.8853282928467,0.922217190265656
1973,31,0,0.917583227157593
1974,31,0.042417973279953,0.925051987171173
1975,31,0,0.939335763454437
1976,31,0,0.947389304637909
1977,31,0,0.935890555381775
1978,31,0,0.935283660888672
1979,31,0,0.938270330429077
1980,31,0,0.961057603359222
1981,31,0.0372557193040848,0.976396918296814
1982,31,0,0.973929584026337
1983,31,0,0.978818535804749
1984,31,0.0587741695344448,0.971393167972565
1985,31,0.255777716636658,0.97532856464386
1986,31,0.186998754739761,0.968518495559692
1987,31,0.138123512268066,0.964287996292114
1988,31,0.336306750774384,0.954651951789856
1989,31,0.197885200381279,0.946079075336456
1990,31,0.315764367580414,0.949421167373657
1991,31,0.151158511638641,0.956237196922302
1992,31,0.0667133927345276,0.959536671638489
1993,31,0.0971370115876198,0.954442322254181
1994,31,0,0.95431113243103
1973,32,0.998546481132507,0.929550051689148
1974,32,0.794064462184906,0.931228518486023
1975,32,1.3799262046814,0.929565370082855
1976,32,1.38104152679443,0.931378722190857
1977,32,1.44535553455353,0.929557144641876
1978,32,1.79160904884338,0.939833402633667
1979,32,1.50977969169617,0.95332682132721
1980,32,2.06873726844788,0.965862274169922
1981,32,1.66333615779877,0.975715041160583
1982,32,1.03247880935669,0.980465769767761
1983,32,0.695972740650177,0.979260504245758
1984,32,1.19981956481934,0.976119101047516
1985,32,0.507323801517487,0.968263030052185
1986,32,0.870181739330292,0.965220272541046
1987,32,1.47249531745911,0.958764970302582
1988,32,1.37825703620911,0.951433777809143
1989,32,1.05425047874451,0.943066596984863
1990,32,1.51800787448883,0.949945390224457
1991,32,1.01518797874451,0.96427321434021
1992,32,1.2328634262085,0.9721799492836
1993,32,1.03318464756012,0.972147762775421
1994,32,1.21615374088287,0.968310832977295
1973,33,0.893009066581726,0.867590546607971
1974,33,0,0.88170325756073
1975,33,4.23090553283691,0.921851336956024
1976,33,2.22501134872437,0.91633552312851
1977,33,0.966927766799927,0.893942594528198
1978,33,3.97032475471497,0.879054248332977
1979,33,7.70454597473145,0.905886471271515
1980,33,3.49935674667358,0.923927128314972
