"Class","Adult.weight..g.","Sample.size","Maximum.longevity..yrs.","Specimen.origin"
"Aves",37.6,"medium",21.1,"wild"
"Aves",102.7,"medium",26,"wild"
"Aves",22.8,"large",15,"wild"
"Aves",17,"small",NA,"unknown"
"Aves",45,"medium",16.1,"wild"
"Aves",5.1,"medium",6.1,"wild"
"Aves",3.9,"medium",11.2,"wild"
"Aves",3,"small",11.2,"wild"
"Aves",3.1,"small",9.1,"wild"
"Aves",3.3,"medium",4.1,"wild"
"Aves",4.4,"tiny",8.5,"wild"
"Aves",3.1,"medium",6,"unknown"
"Aves",3.3,"medium",8.8,"wild"
"Aves",8.1,"medium",11,"wild"
"Aves",7.6,"medium",12,"unknown"
"Aves",7.8,"medium",8,"wild"
"Aves",4.2,"medium",14,"unknown"
"Aves",3.5,"small",8.9,"wild"
"Aves",3,"small",NA,"unknown"
"Aves",2.6,"tiny",7,"wild"
"Aves",2600,"small",35,"captivity"
"Aves",2798.5,"medium",33.4,"captivity"
"Aves",1250,"medium",31.8,"captivity"
"Aves",1203.5,"small",19.3,"captivity"
"Aves",3767.5,"medium",70,"captivity"
"Aves",67.1,"medium",11.1,"wild"
"Aves",115,"medium",14.8,"wild"
"Aves",67,"medium",11.9,"wild"
"Aves",68.5,"medium",13.2,"wild"
"Aves",54,"tiny",15,"wild"
"Aves",79.3,"small",10,"wild"
"Aves",37.5,"small",NA,"unknown"
"Aves",169,"tiny",NA,"unknown"
"Aves",349,"medium",17.9,"wild"
"Aves",35000,"tiny",26,"captivity"
"Aves",44000,"small",30,"captivity"
"Aves",47300,"small",22,"captivity"
"Aves",38925,"large",16.6,"captivity"
"Aves",289,"medium",10.8,"wild"
"Aves",96,"medium",8.1,"wild"
"Aves",120,"medium",15,"wild"
"Aves",726,"small",42,"wild"
"Aves",222,"medium",10,"wild"
"Aves",483.8,"medium",15.2,"wild"
"Aves",427.5,"small",29.9,"wild"
"Aves",544.1,"small",28.2,"wild"
"Aves",490.5,"large",45,"wild"
"Aves",184,"medium",16.2,"wild"
"Aves",223.6,"small",NA,"unknown"
"Aves",167,"medium",15,"wild"
"Aves",992,"large",42.8,"wild"
"Aves",964,"medium",29,"wild"
"Aves",667.967,"medium",5.5,"wild"
"Aves",459,"medium",17.9,"wild"
"Aves",37,"medium",19,"wild"
"Aves",59.4,"large",18.3,"wild"
"Aves",38.7,"medium",13,"wild"
"Aves",64,"medium",20.8,"wild"
"Aves",75,"large",21.6,"wild"
"Aves",49,"medium",14,"wild"
"Aves",64,"medium",15.6,"wild"
"Aves",100,"medium",10,"wild"
"Aves",108.5,"medium",11.8,"wild"
"Aves",41.2,"medium",21,"wild"
"Aves",52,"small",9.2,"wild"
"Aves",88,"small",10.9,"wild"
"Aves",31.5,"small",NA,"unknown"
"Aves",214,"large",13.8,"wild"
"Aves",118,"small",13,"wild"
"Aves",135,"small",21.3,"wild"
"Aves",224,"medium",25.6,"wild"
"Aves",100,"large",16.2,"wild"
"Aves",156,"medium",18.6,"captivity"
"Aves",379,"small",13.9,"wild"
"Aves",188,"medium",17,"wild"
"Aves",218.5,"medium",24.5,"wild"
"Aves",76,"small",4.4,"wild"
"Aves",670,"tiny",16,"wild"
"Aves",789.2,"medium",19.9,"wild"
"Aves",566.25,"large",30.2,"wild"
"Aves",480,"medium",43.3,"wild"
"Aves",565,"small",17,"wild"
"Aves",110.4,"medium",27.1,"wild"
"Aves",178,"medium",26.2,"wild"
"Aves",104.56,"tiny",15,"wild"
"Aves",88,"small",16,"wild"
"Aves",60,"tiny",21,"wild"
"Aves",281,"medium",31.7,"wild"
"Aves",295.375,"large",28.8,"wild"
"Aves",306,"medium",32.9,"wild"
"Aves",221,"small",16,"wild"
"Aves",98.1,"medium",35.9,"wild"
"Aves",119,"medium",20.9,"wild"
"Aves",644,"medium",30,"wild"
"Aves",535,"large",25,"wild"
"Aves",1394,"small",NA,"unknown"
"Aves",256,"medium",22.1,"wild"
"Aves",219,"large",26,"captivity"
"Aves",1094,"medium",49,"unknown"
"Aves",1117.2,"medium",31.9,"wild"
"Aves",691,"medium",30,"wild"
"Aves",430.6,"medium",33.7,"wild"
"Aves",518.5,"medium",31.8,"wild"
"Aves",989,"large",27,"wild"
"Aves",766.2,"medium",34.9,"wild"
"Aves",908,"medium",32,"wild"
"Aves",945.5,"medium",33,"wild"
"Aves",500,"medium",24,"wild"
"Aves",1210,"medium",21.1,"wild"
"Aves",1658.5,"large",32.8,"wild"
"Aves",1089.5,"medium",19.2,"wild"
"Aves",931.5,"medium",33.9,"wild"
"Aves",1313.5,"medium",24.3,"wild"
"Aves",275.6,"medium",22,"wild"
"Aves",263.3,"tiny",NA,"unknown"
"Aves",133.3,"medium",24.9,"wild"
"Aves",148,"medium",35.8,"wild"
