"Class","Adult.weight..g.","Sample.size","Maximum.longevity..yrs.","Specimen.origin"
"Aves",12,"small",NA,"unknown"
"Aves",24,"medium",9,"wild"
"Aves",26,"medium",13.6,"wild"
"Aves",16.65,"small",9,"captivity"
"Aves",13.35,"medium",12,"wild"
"Aves",56.6,"medium",12.6,"wild"
"Aves",20.7,"small",29,"captivity"
"Aves",23.2,"medium",14.8,"wild"
"Aves",27.5,"medium",7,"wild"
"Aves",21.4,"medium",11.6,"wild"
"Aves",25.42,"medium",14,"wild"
"Aves",28,"medium",13,"wild"
"Aves",54.9,"medium",17,"unknown"
"Aves",13.4,"small",11,"captivity"
"Aves",24,"medium",8.6,"wild"
"Aves",26.6,"medium",5.9,"wild"
"Aves",35.7,"small",6.6,"wild"
"Aves",19.5,"medium",9.4,"wild"
"Aves",15.4,"medium",6.1,"wild"
"Aves",39.5,"small",16.1,"wild"
"Aves",28.9,"small",4,"captivity"
"Aves",37.85,"medium",13,"wild"
"Aves",10.4,"medium",10,"wild"
"Aves",10,"medium",9.5,"wild"
"Aves",25.5,"medium",9.2,"wild"
"Aves",26.2,"medium",9.2,"wild"
"Aves",13.15,"small",NA,"unknown"
"Aves",65.3,"small",9.8,"wild"
"Aves",24.4,"medium",17.5,"wild"
"Aves",24.3,"medium",24,"captivity"
"Aves",11.2,"small",NA,"unknown"
"Aves",12.7,"medium",11,"unknown"
"Aves",9.23,"medium",5.7,"wild"
"Aves",13.2,"medium",13.5,"wild"
"Aves",12.8,"medium",13,"unknown"
"Aves",33.3,"small",12,"captivity"
"Aves",24.5,"medium",12,"wild"
"Aves",18.3,"medium",8.8,"wild"
"Aves",34.4,"small",11,"wild"
"Aves",44.3,"tiny",10,"wild"
"Aves",22.2,"medium",9,"wild"
"Aves",14.5,"medium",15,"wild"
"Aves",15,"medium",11.5,"wild"
"Aves",18.3,"medium",16,"unknown"
"Aves",11.025,"large",5.3,"wild"
"Aves",20.15,"small",12.2,"wild"
"Aves",15.4,"small",6.1,"wild"
"Aves",23.24,"large",11.8,"wild"
"Aves",45,"medium",13.8,"wild"
"Aves",12.7,"large",10.1,"wild"
"Aves",16,"medium",5.9,"wild"
"Aves",15.7,"tiny",5.9,"wild"
"Aves",19,"medium",12.1,"wild"
"Aves",14.2,"medium",9.1,"wild"
"Aves",56.7,"medium",20,"unknown"
"Aves",56.5,"medium",13.2,"wild"
"Aves",38.4,"medium",12.6,"wild"
"Aves",35,"medium",9,"wild"
"Aves",60.8,"medium",8.8,"wild"
"Aves",64.55,"medium",12.5,"wild"
"Aves",36.62,"medium",8.9,"wild"
"Aves",24.3,"medium",6,"wild"
"Aves",32.9,"medium",14,"unknown"
"Aves",36.9,"medium",12.2,"wild"
"Aves",36.2,"medium",6.4,"wild"
"Aves",46.5,"medium",11.6,"wild"
"Aves",21,"medium",17.7,"captivity"
"Aves",62.9,"small",NA,"unknown"
"Aves",38.1,"medium",16.9,"wild"
"Aves",152.6,"medium",13.9,"wild"
"Aves",168.7,"medium",12.5,"wild"
"Aves",111,"medium",23.1,"wild"
"Aves",94.71,"small",12.6,"wild"
"Aves",85,"tiny",10,"captivity"
"Aves",75.75,"medium",18,"unknown"
"Aves",28.4,"medium",10.1,"wild"
"Aves",63.5,"medium",12,"unknown"
"Aves",46,"small",12.5,"wild"
"Aves",36,"medium",5.7,"wild"
"Aves",21.5,"large",15,"captivity"
"Aves",73.5,"medium",13.5,"wild"
"Aves",66,"small",16.5,"captivity"
"Aves",16.1,"medium",6.9,"wild"
"Aves",13.9,"medium",9.8,"wild"
"Aves",13.3,"medium",5.9,"wild"
"Aves",14.3,"medium",3.3,"wild"
"Aves",24.775,"medium",3.2,"wild"
"Aves",10.5,"small",12,"wild"
"Aves",18.2,"small",3,"wild"
"Aves",8.65,"tiny",12,"wild"
"Aves",11.1,"large",5.5,"wild"
"Aves",10.4,"large",10.5,"wild"
"Aves",9.75,"medium",10,"wild"
"Aves",8.15,"large",11,"wild"
"Aves",7.4,"medium",6,"wild"
"Aves",7.9,"large",7.7,"wild"
"Aves",9.2,"medium",6.4,"wild"
"Aves",9.3125,"large",11,"wild"
"Aves",7.525,"small",3.7,"wild"
"Aves",47.8,"medium",13.6,"wild"
"Aves",9.75,"large",10.7,"wild"
"Aves",9.7875,"large",15.5,"wild"
"Aves",102.55,"medium",13.3,"wild"
"Aves",66.075,"small",7.1,"wild"
"Aves",63.8,"small",11.5,"wild"
"Aves",145.9,"small",9.8,"wild"
"Aves",11.4,"medium",3.7,"wild"
"Aves",10.8,"medium",9.8,"wild"
"Aves",101.425,"medium",9.1,"wild"
"Aves",17.3,"large",12.6,"wild"
"Aves",20.4,"medium",13.7,"wild"
"Aves",26.9,"small",4.5,"wild"
"Aves",12.4,"medium",6.5,"wild"
"Aves",29,"medium",5,"wild"
"Aves",21.4,"small",4.2,"wild"
"Aves",34.2,"medium",4.9,"wild"
"Aves",17.8,"large",17.6,"wild"
"Aves",24,"medium",12.8,"wild"
"Aves",31.85,"large",15.3,"wild"
"Aves",17.6,"medium",9.1,"wild"
"Aves",19.4,"large",15.9,"wild"
"Aves",30.8,"medium",12.2,"wild"
"Aves",23.4,"large",10.5,"wild"
"Aves",10.8,"large",13.2,"wild"
"Aves",52.6,"medium",12.1,"wild"
"Aves",60.575,"medium",12.4,"wild"
"Aves",29.725,"large",13.6,"wild"
"Aves",14.75,"small",12,"wild"
"Aves",34.4,"large",15.9,"wild"
"Aves",26.325,"medium",11.2,"wild"
"Aves",15,"medium",8.7,"wild"
"Aves",10.9,"medium",10.5,"wild"
"Aves",12.825,"large",12.2,"wild"
"Aves",19.5,"small",10,"wild"
"Aves",13.85,"large",12.3,"wild"
"Aves",24.85,"medium",5.4,"wild"
"Aves",7.75,"medium",7.1,"wild"
"Aves",12.25,"medium",12,"wild"
"Aves",8.1,"medium",10,"wild"
"Aves",78.05,"tiny",NA,"unknown"
"Aves",101,"tiny",NA,"unknown"
"Aves",62.25,"small",10.6,"wild"
"Aves",103.375,"medium",9.8,"wild"
"Aves",18,"large",11.6,"wild"
"Aves",18.5,"large",22.9,"wild"
"Aves",15.525,"large",9.9,"wild"
"Aves",39.75,"small",4.4,"wild"
"Aves",37.625,"small",9,"wild"
"Aves",29.425,"small",8,"wild"
"Aves",979.95,"medium",17.9,"wild"
"Aves",34.5,"large",17.9,"wild"
"Aves",98.6,"medium",17,"wild"
"Aves",53,"medium",20,"wild"
"Aves",62.2,"tiny",9.5,"wild"
"Aves",62.7,"small",4.8,"wild"
"Aves",80.65,"small",10.8,"wild"
"Aves",61.82,"medium",5.7,"wild"
"Aves",67.65,"medium",7.8,"wild"
"Aves",84.4,"medium",6.9,"wild"
"Aves",67,"medium",12.8,"wild"
"Aves",13.6,"tiny",4,"wild"
"Aves",15,"medium",17.8,"wild"
"Aves",79.9,"medium",12.1,"wild"
"Aves",23,"small",5.2,"wild"
"Aves",24.6,"small",5.2,"wild"
"Aves",12.65,"small",6.2,"wild"
"Aves",10.225,"small",8.6,"wild"
"Aves",20.9,"medium",4.5,"wild"
"Aves",22.4,"medium",10.9,"wild"
"Aves",18.4,"large",13.1,"wild"
"Aves",20.8,"tiny",5.1,"wild"
"Aves",21.2,"medium",8.8,"wild"
"Aves",23.4,"medium",8.8,"wild"
"Aves",24.1,"medium",13.7,"wild"
"Aves",17.2,"medium",8,"wild"
"Aves",17.7,"medium",8.8,"wild"
"Aves",29.35,"medium",7,"wild"
"Aves",17.3,"large",19.3,"wild"
"Aves",20.3,"medium",7,"wild"
"Aves",12.7,"medium",9.8,"wild"
"Aves",13.9,"large",15,"wild"
"Aves",23.8,"medium",8.9,"wild"
"Aves",19.7,"medium",10.9,"wild"
"Aves",17.3,"medium",11.4,"wild"
"Aves",15.9,"tiny",11.8,"captivity"
"Aves",15.1,"medium",4.9,"wild"
"Aves",25,"medium",10.1,"unknown"
"Aves",16.5,"medium",10.2,"wild"
"Aves",14.6,"medium",10.2,"wild"
"Aves",16.6,"medium",6.9,"wild"
"Aves",10.3,"medium",8.8,"wild"
"Aves",8.1,"small",22,"captivity"
"Aves",11.7,"small",6.9,"wild"
"Aves",35.2,"medium",4,"wild"
"Aves",63.125,"small",5,"wild"
"Aves",82.6,"medium",29,"captivity"
"Aves",79,"medium",14.8,"wild"
"Aves",96.6,"medium",7.1,"wild"
"Aves",56.3,"tiny",15.5,"captivity"
"Aves",121.5,"medium",18,"captivity"
"Aves",145.1,"small",16.5,"wild"
"Aves",58.15,"small",NA,"unknown"
"Aves",43.8,"small",NA,"unknown"
"Aves",67.625,"large",14.8,"wild"
"Aves",34.05,"medium",19.3,"wild"
"Aves",28.1,"medium",11.9,"wild"
"Aves",30.75,"small",11,"wild"
"Aves",39.5,"small",15.7,"wild"
"Aves",29.3875,"small",NA,"unknown"
"Aves",41.2,"medium",7.8,"wild"
"Aves",32.7,"large",18,"wild"
"Aves",23.125,"large",15.2,"wild"
"Aves",17.5,"small",9.7,"wild"
"Aves",13.8,"medium",7.1,"wild"
"Aves",172,"medium",12.1,"captivity"
"Aves",161,"small",12,"wild"
"Aves",86.5,"small",8.9,"wild"
"Aves",8.875,"medium",4,"wild"
"Aves",10.7,"small",3.5,"wild"
"Aves",11.775,"medium",6,"wild"
"Aves",21,"medium",13.3,"wild"
"Aves",15.9,"medium",9,"wild"
"Aves",10.4,"medium",6.6,"wild"
"Aves",10.3,"medium",14.6,"wild"
"Aves",11.1,"medium",11.6,"wild"
"Aves",17.9,"large",15.4,"wild"
"Aves",9.2,"medium",9.5,"wild"
"Aves",10.4,"large",12.4,"wild"
"Aves",10.25,"medium",10.9,"wild"
"Aves",12.5,"medium",9,"wild"
"Aves",11.5,"small",10.1,"wild"
"Aves",10,"tiny",7,"wild"
"Aves",11.1,"medium",11.3,"wild"
"Aves",11.2,"large",13.2,"wild"
"Aves",9.8,"small",9.5,"wild"
"Aves",11,"tiny",10.1,"wild"
"Aves",10,"medium",8,"wild"
"Aves",7,"medium",8.9,"wild"
"Aves",9.8,"medium",3,"wild"
"Aves",14,"medium",6.9,"wild"
"Aves",10,"medium",7.9,"wild"
"Aves",10.4,"medium",9,"wild"
"Aves",9.5,"medium",11.5,"wild"
"Aves",12.5,"small",8.1,"wild"
"Aves",26,"small",8.9,"wild"
"Aves",9.2,"small",8.6,"wild"
"Aves",6.6,"medium",5.8,"wild"
"Aves",8.5,"small",6.4,"wild"
"Aves",7.5,"small",10.2,"wild"
"Aves",8.2,"medium",6.2,"wild"
"Aves",13.5,"large",9.9,"wild"
"Aves",10.9,"small",12.2,"wild"
"Aves",9.75,"medium",6.6,"wild"
"Aves",22.5,"medium",11.9,"wild"
"Aves",16.3,"small",8.9,"wild"
"Aves",14.3,"small",8.1,"wild"
"Aves",18.8,"medium",11,"wild"
"Aves",7,"medium",10.6,"wild"
"Aves",7.9,"tiny",7,"wild"
"Aves",10.2,"small",10,"wild"
"Aves",11.5,"tiny",4.9,"wild"
"Aves",8.625,"medium",6,"wild"
"Aves",10.2,"medium",11,"wild"
"Aves",10.6,"medium",8.2,"wild"
"Aves",12,"medium",10,"wild"
"Aves",7,"medium",10.3,"wild"
"Aves",9.7,"medium",6.1,"wild"
"Aves",9,"medium",8.2,"wild"
"Aves",15.5,"small",9,"wild"
"Aves",7.5,"small",8,"wild"
"Aves",10,"medium",9.1,"wild"
"Aves",10.3,"small",6.6,"wild"
"Aves",9,"small",6.9,"wild"
"Aves",9.8,"medium",11,"wild"
"Aves",11.8,"medium",10.2,"unknown"
"Aves",8.5,"medium",10.1,"wild"
"Aves",15,"small",8.1,"wild"
"Aves",12,"small",NA,"unknown"
"Aves",8.85,"medium",10.7,"wild"
"Aves",9,"medium",6,"unknown"
"Aves",8.8,"tiny",7.9,"wild"
"Aves",8.9,"small",9,"wild"
"Aves",18.8,"medium",5.1,"wild"
"Aves",17.6,"medium",9.1,"wild"
"Aves",13.5,"medium",6,"wild"
"Aves",22.4,"medium",8.2,"wild"
"Aves",17.1,"medium",9.1,"wild"
"Aves",32.6,"medium",4.8,"wild"
"Aves",27.1,"small",7.8,"wild"
"Aves",19,"large",11.3,"wild"
"Aves",20,"small",6.6,"wild"
"Aves",16.1,"medium",7.8,"wild"
"Aves",17.35,"medium",7.6,"wild"
"Aves",22.7,"medium",11.3,"wild"
"Aves",46,"medium",8.6,"wild"
"Aves",47,"medium",12.8,"wild"
"Aves",44.4,"small",12.8,"wild"
"Aves",20.2,"medium",18,"captivity"
"Aves",35.5,"medium",10.3,"wild"
"Aves",19.6,"medium",3.9,"wild"
"Aves",28.88,"small",7.7,"wild"
"Aves",39.4,"medium",12.3,"wild"
"Aves",40.4,"medium",11,"wild"
"Aves",25.7,"medium",7.9,"wild"
"Aves",11,"medium",6.2,"wild"
"Aves",11.45,"small",6.9,"wild"
"Aves",12.2,"large",11.8,"wild"
"Aves",12.5,"medium",10.3,"wild"
"Aves",16.6,"large",10.8,"wild"
"Aves",21.1,"medium",14.9,"wild"
"Aves",31.55,"large",10.5,"wild"
"Aves",25.82,"large",13.3,"wild"
"Aves",33.1,"medium",11.7,"wild"
"Aves",25.3,"medium",23,"unknown"
"Aves",24.2,"medium",11.2,"wild"
"Aves",16.5,"small",NA,"unknown"
"Aves",20.5,"medium",13.1,"wild"
"Aves",30.2,"medium",7,"wild"
"Aves",33.95,"small",9.7,"wild"
"Aves",20.25,"large",14.7,"wild"
"Aves",19.15,"medium",18.3,"wild"
"Aves",19.875,"medium",8.8,"wild"
"Aves",21.575,"medium",9.6,"wild"
"Aves",26.6,"medium",4.7,"wild"
"Aves",14.7583,"small",5.3,"wild"
"Aves",12,"tiny",4.1,"wild"
"Aves",8.875,"medium",5.5,"wild"
"Aves",13,"medium",10.9,"wild"
"Aves",10.25,"small",NA,"unknown"
"Aves",8.2,"medium",6.1,"wild"
"Aves",19.9,"tiny",9,"wild"
"Aves",13.9,"medium",13.2,"wild"
"Aves",15.975,"medium",18,"wild"
"Aves",9.5,"small",NA,"unknown"
"Aves",8.3,"medium",8,"wild"
"Aves",9.2,"medium",10.2,"wild"
"Aves",8.7,"medium",11.8,"wild"
"Aves",16.9,"small",14,"wild"
"Aves",NA,"small",14,"wild"
"Aves",90.75,"tiny",6,"wild"
"Aves",61.9,"small",20,"captivity"
"Aves",36.2,"medium",24,"captivity"
"Aves",17.5,"large",10,"wild"
"Aves",6.5,"medium",4.2,"wild"
"Aves",6,"medium",8,"wild"
"Aves",41.8,"medium",3.9,"wild"
"Aves",57.8,"medium",8.3,"wild"
"Aves",43.2,"large",14.4,"wild"
"Aves",71,"medium",13.3,"wild"
"Aves",39.775,"medium",7.7,"wild"
"Aves",20.2,"large",20.8,"wild"
"Aves",68,"medium",12.3,"wild"
"Aves",207,"medium",14.9,"wild"
"Aves",202,"small",10.4,"wild"
"Aves",213,"large",25.1,"wild"
"Aves",167.25,"small",22,"wild"
"Aves",100,"medium",17.2,"wild"
"Aves",27.7,"medium",11.1,"wild"
"Aves",38.1,"medium",8.8,"wild"
"Aves",6.75,"small",5.6,"wild"
"Aves",5.6,"medium",7,"wild"
"Aves",5.5,"small",6.3,"wild"
"Aves",6.8,"medium",5.6,"wild"
"Aves",9.3,"large",7.2,"wild"
"Aves",27,"medium",9.4,"wild"
"Aves",7.1,"small",NA,"unknown"
"Aves",10.2,"medium",9.1,"wild"
"Aves",12.5,"small",NA,"unknown"
"Aves",11.2,"small",7.5,"wild"
"Aves",20.5,"medium",9.8,"wild"
"Aves",20.4,"medium",12.9,"wild"
"Aves",10.8,"small",5.8,"wild"
"Aves",10.7,"small",8.2,"wild"
"Aves",116.5,"small",13,"captivity"
"Aves",121,"medium",17.8,"captivity"
"Aves",55.8,"small",16.9,"captivity"
"Aves",64.9,"medium",25,"captivity"
"Aves",95,"large",25,"captivity"
"Aves",74,"large",22.9,"wild"
"Aves",14.7,"small",12.6,"wild"
"Aves",16.7,"medium",13.8,"wild"
"Aves",24.6,"small",24,"captivity"
"Aves",17.7,"large",9,"wild"
"Aves",11.4,"medium",9,"wild"
"Aves",11.7,"medium",8.3,"wild"
"Aves",22.5,"medium",11.9,"wild"
"Aves",16.3,"small",13,"wild"
"Aves",9.8,"small",16.2,"wild"
"Aves",17.8,"small",14,"wild"
"Aves",13.2,"small",15,"wild"
"Aves",16,"small",12,"wild"
"Aves",10.1,"medium",8.6,"wild"
"Aves",12,"medium",17,"captivity"
"Aves",27,"small",10,"wild"
"Aves",14.5,"small",15,"wild"
"Aves",32.1,"medium",15.6,"wild"
"Aves",8.7,"medium",11.7,"wild"
"Aves",35,"medium",9.5,"wild"
"Aves",38.9,"small",7.3,"wild"
"Aves",NA,"small",15,"wild"
"Aves",9.8,"small",8,"wild"
"Aves",17.5,"medium",9.2,"wild"
"Aves",9.7,"medium",9,"wild"
"Aves",9.1,"medium",7,"unknown"
"Aves",27.5,"medium",11.9,"wild"
"Aves",28.8,"small",10.1,"wild"
"Aves",27.8,"medium",10.8,"wild"
"Aves",24.8,"small",7.3,"wild"
"Aves",27.9,"medium",11,"unknown"
"Aves",43.3,"medium",10.2,"wild"
"Aves",78.5,"medium",5.6,"wild"
"Aves",29.6,"medium",9,"wild"
"Aves",26.5,"medium",8.7,"wild"
"Aves",30.5,"medium",10.5,"wild"
"Aves",74,"medium",9.6,"wild"
"Aves",61.2,"medium",18.8,"wild"
"Aves",103.2,"medium",21.8,"wild"
"Aves",75.5,"medium",17,"unknown"
"Aves",67.8,"medium",17.7,"wild"
"Aves",106,"medium",18.1,"wild"
"Aves",75.3,"medium",14.6,"wild"
"Aves",109,"medium",9.1,"wild"
"Aves",117.5,"medium",21.2,"wild"
"Aves",111,"tiny",1,"wild"
"Aves",129.5,"tiny",0.6,"wild"
"Aves",7.4,"medium",5.8,"wild"
"Aves",32.8,"medium",11.1,"wild"
"Aves",12.8,"medium",8.1,"wild"
"Aves",13.9,"small",8.2,"wild"
"Aves",20.9,"medium",13.6,"wild"
"Aves",13.5,"medium",9.1,"wild"
"Aves",11,"medium",6.9,"wild"
"Aves",11.9,"small",NA,"unknown"
"Aves",10.4,"medium",7,"wild"
"Aves",10,"medium",8,"wild"
"Aves",10.95,"medium",9,"wild"
"Aves",12.6,"medium",11,"wild"
"Aves",12.6,"medium",12.1,"wild"
"Aves",23.4,"medium",13.6,"wild"
"Aves",29.2,"small",6,"wild"
"Aves",28.5,"medium",11.9,"wild"
"Aves",32.1,"small",14.9,"wild"
"Aves",35,"medium",11,"wild"
"Aves",12.87,"medium",5.5,"wild"
"Aves",18.25,"medium",8,"wild"
"Aves",19.7,"medium",10.3,"unknown"
"Aves",21.8,"small",NA,"unknown"
"Aves",39.9,"small",11.1,"wild"
"Aves",40.7,"tiny",6.9,"wild"
"Aves",8.65,"medium",12,"wild"
"Aves",10,"tiny",9.1,"wild"
"Aves",18,"medium",6.1,"wild"
"Aves",15,"small",13.1,"wild"
"Aves",12,"small",10.9,"wild"
"Aves",11.3,"medium",13.5,"wild"
"Aves",12,"medium",16.8,"wild"
"Aves",17,"small",10.2,"wild"
"Aves",12,"medium",9.8,"wild"
"Aves",16,"medium",7.4,"wild"
"Aves",12.4,"small",NA,"unknown"
"Aves",11.25,"medium",5.1,"wild"
"Aves",12.7,"large",18.7,"wild"
"Aves",9.775,"large",8.7,"wild"
"Aves",873.5,"medium",22.8,"wild"
"Aves",1443,"medium",37.5,"wild"
"Aves",1937.7,"tiny",24.4,"captivity"
"Aves",4468,"small",22.9,"captivity"
"Aves",1870,"medium",24.5,"wild"
"Aves",1065.5,"medium",25.4,"wild"
"Aves",706,"small",8.3,"wild"
"Aves",1324.5,"medium",11.3,"wild"
"Aves",390,"medium",23,"wild"
"Aves",175,"medium",11.6,"wild"
"Aves",339.5,"medium",13.9,"wild"
"Aves",312,"medium",22.3,"wild"
"Aves",540.6,"small",NA,"unknown"
"Aves",614,"small",22,"wild"
"Aves",510.25,"small",15,"wild"
"Aves",314,"medium",22.8,"wild"
"Aves",309.9,"small",17.7,"wild"
"Aves",101,"large",7.8,"wild"
"Aves",856,"small",NA,"unknown"
"Aves",800,"medium",21.1,"wild"
"Aves",5984,"small",35.7,"captivity"
"Aves",5452.5,"medium",26.1,"wild"
"Aves",9550,"large",35.3,"captivity"
"Aves",6129,"medium",54,"wild"
"Aves",3115.8,"medium",43,"unknown"
"Aves",9520,"large",51,"captivity"
"Aves",NA,"small",12,"captivity"
"Aves",1238,"small",16,"captivity"
"Aves",NA,"small",NA,"unknown"
"Aves",940,"medium",27.6,"captivity"
"Aves",615,"large",33.2,"captivity"
"Aves",NA,"medium",15.3,"captivity"
"Aves",1202,"large",32.9,"captivity"
"Aves",1900,"tiny",25.8,"captivity"
"Aves",559,"small",20,"captivity"
"Aves",1036.97,"medium",28,"unknown"
"Aves",1521,"small",17.9,"captivity"
"Aves",1747.5,"small",28.6,"captivity"
"Aves",1868,"medium",30.1,"captivity"
"Aves",1228,"medium",15,"captivity"
"Aves",1795.25,"small",36.2,"wild"
"Aves",487.5,"medium",20.4,"captivity"
"Aves",431.2,"large",26.8,"captivity"
"Aves",584,"medium",18,"captivity"
"Aves",NA,"tiny",30,"captivity"
"Aves",1500,"small",NA,"unknown"
"Aves",1726,"small",22,"captivity"
"Aves",1200,"medium",34.5,"captivity"
"Aves",1530,"large",37,"captivity"
"Aves",1530,"medium",28.2,"captivity"
"Aves",1806,"small",33.2,"captivity"
"Aves",1351.5,"medium",39.4,"captivity"
"Aves",750,"medium",17.6,"wild"
"Aves",593.2,"small",32.7,"wild"
"Aves",1500,"medium",41,"wild"
"Aves",2277,"large",36.7,"captivity"
"Aves",2500,"large",58.8,"captivity"
"Aves",3065.8,"medium",NA,"unknown"
"Aves",120,"small",12.5,"wild"
"Aves",117,"medium",15.9,"wild"
"Aves",75.1,"medium",12.7,"wild"
"Aves",59,"medium",9.3,"wild"
"Aves",19.8,"medium",9.8,"wild"
"Aves",76.8,"medium",10.9,"wild"
"Aves",321,"medium",14,"wild"
"Aves",364,"tiny",13,"wild"
"Aves",35,"medium",10,"wild"
"Aves",81.63,"small",NA,"unknown"
"Aves",72.5,"medium",20.7,"unknown"
"Aves",75,"medium",10,"unknown"
"Aves",79.7,"medium",17.2,"wild"
"Aves",65,"medium",11,"wild"
"Aves",56,"medium",16.1,"wild"
"Aves",37.4,"medium",7.8,"wild"
"Aves",25.6,"medium",11.9,"wild"
"Aves",30.3,"small",NA,"unknown"
"Aves",65.7,"medium",11.2,"wild"
"Aves",62,"medium",15.9,"wild"
"Aves",137,"small",NA,"unknown"
"Aves",176,"medium",15.2,"wild"
"Aves",48.5,"medium",4.9,"wild"
"Aves",55,"medium",4.8,"wild"
"Aves",45,"medium",7.8,"wild"
"Aves",540,"medium",16.2,"captivity"
"Aves",1475.5,"small",14,"wild"
"Aves",485,"small",NA,"unknown"
"Aves",738.7,"medium",19.2,"wild"
"Aves",1100,"small",11,"wild"
"Aves",392,"small",13.1,"wild"
"Aves",430,"tiny",NA,"unknown"
"Aves",174,"medium",17.5,"wild"
"Aves",7790,"small",30.3,"wild"
"Aves",9000,"medium",58,"wild"
"Aves",7046.7,"medium",50,"wild"
"Aves",4411,"small",NA,"unknown"
"Aves",3150,"large",70,"wild"
"Aves",3395,"medium",40,"wild"
"Aves",2800,"large",42.1,"wild"
"Aves",2825,"medium",28.1,"wild"
"Aves",2115,"small",27.7,"wild"
"Aves",4012.5,"medium",30.9,"wild"
"Aves",3890,"medium",37,"wild"
"Aves",3753,"medium",47.2,"wild"
"Aves",3440,"tiny",34.2,"wild"
"Aves",3232,"medium",43.7,"wild"
"Aves",25.2,"medium",33.8,"wild"
"Aves",42,"medium",36,"wild"
"Aves",45.2,"small",18,"wild"
"Aves",36.9,"small",31,"wild"
"Aves",44.6,"medium",36,"wild"
"Aves",87,"small",NA,"unknown"
"Aves",47.2,"medium",19.8,"wild"
"Aves",99,"small",22.9,"wild"
"Aves",535,"medium",24.8,"wild"
"Aves",408.6,"medium",28.5,"wild"
"Aves",908,"medium",51,"wild"
"Aves",795,"medium",45,"wild"
"Aves",3697.5,"small",47,"wild"
"Aves",4313,"medium",35.4,"wild"
"Aves",138.05,"small",16.5,"wild"
"Aves",268,"medium",46,"wild"
"Aves",702.5,"medium",17,"wild"
"Aves",259,"medium",11.3,"wild"
"Aves",383.75,"tiny",21.8,"wild"
"Aves",168.6,"medium",30.8,"wild"
"Aves",147.5,"large",32.7,"wild"
"Aves",578.5,"small",14.9,"wild"
"Aves",425,"small",NA,"unknown"
"Aves",434,"medium",13.1,"wild"
"Aves",471,"tiny",16.6,"wild"
"Aves",690,"medium",30.2,"wild"
"Aves",740,"medium",34,"unknown"
"Aves",130,"small",NA,"unknown"
"Aves",497,"small",NA,"unknown"
"Aves",356,"small",NA,"unknown"
"Aves",337.8,"medium",29,"wild"
"Aves",434,"medium",50.9,"wild"
"Aves",499.4,"medium",39.9,"wild"
"Aves",687.5,"medium",15,"wild"
"Aves",48.3,"large",12.6,"captivity"
"Aves",37.3,"medium",19.2,"captivity"
"Aves",43,"small",18,"captivity"
"Aves",54.8,"medium",NA,"unknown"
"Aves",57.5,"tiny",14.6,"captivity"
"Aves",232.5,"medium",26.6,"captivity"
"Aves",451,"large",49,"captivity"
"Aves",215,"medium",25.3,"captivity"
"Aves",370,"medium",30,"captivity"
"Aves",432.16,"medium",49,"captivity"
"Aves",416,"medium",27,"captivity"
"Aves",270,"medium",NA,"unknown"
"Aves",626,"medium",NA,"unknown"
"Aves",430,"medium",24.5,"captivity"
"Aves",302,"medium",25.8,"captivity"
"Aves",646,"small",28,"captivity"
"Aves",235.5,"medium",NA,"unknown"
"Aves",430,"medium",56,"captivity"
"Aves",517,"medium",NA,"unknown"
"Aves",511.5,"medium",44,"captivity"
"Aves",676,"medium",NA,"unknown"
"Aves",316,"medium",NA,"unknown"
"Aves",281,"small",NA,"unknown"
"Aves",NA,"small",NA,"unknown"
"Aves",1330,"tiny",38.8,"captivity"
"Aves",940,"small",38.3,"captivity"
"Aves",136,"medium",24.4,"captivity"
"Aves",1300,"small",29,"captivity"
"Aves",1030,"large",43,"captivity"
"Aves",1220,"small",50.1,"captivity"
"Aves",784,"medium",22,"captivity"
"Aves",1040,"large",33,"captivity"
"Aves",1134,"large",46,"captivity"
"Aves",470,"medium",23,"captivity"
"Aves",343,"small",28.5,"captivity"
"Aves",171,"medium",31,"captivity"
"Aves",130,"small",20.9,"captivity"
"Aves",85,"small",16.2,"captivity"
"Aves",146,"medium",NA,"unknown"
"Aves",151,"small",26.2,"captivity"
"Aves",138,"medium",21.8,"captivity"
"Aves",150,"small",17.9,"captivity"
"Aves",43.1,"small",9.2,"captivity"
"Aves",61.6,"small",19,"captivity"
"Aves",64,"small",11.3,"captivity"
"Aves",59,"small",13.2,"captivity"
"Aves",63,"small",11,"captivity"
"Aves",71.6,"small",10.3,"captivity"
"Aves",570,"medium",26.9,"captivity"
"Aves",394,"small",30.5,"captivity"
"Aves",800,"large",57,"captivity"
"Aves",275,"small",26,"captivity"
"Aves",288,"medium",17.3,"captivity"
"Aves",390,"medium",83,"captivity"
"Aves",830,"large",65.8,"captivity"
"Aves",492,"medium",31.9,"captivity"
"Aves",637,"small",26.3,"captivity"
"Aves",350,"medium",46.9,"captivity"
"Aves",340,"medium",49.7,"captivity"
"Aves",567,"medium",43,"captivity"
"Aves",256,"medium",27.5,"captivity"
"Aves",723.7,"medium",45.4,"captivity"
"Aves",620,"small",47,"captivity"
"Aves",678.5,"medium",41,"captivity"
"Aves",437,"medium",NA,"unknown"
"Aves",622.925,"small",34.4,"wild"
"Aves",260,"small",17.5,"captivity"
"Aves",190,"medium",19.7,"captivity"
"Aves",83,"medium",11.3,"captivity"
"Aves",100,"small",30,"captivity"
"Aves",193.5,"medium",34.1,"captivity"
