latitude,mortality_index,temperature
50,1025,51.3
51,1045,49.9
52,1004,50
53,959,49.2
54,870,48.5
55,950,47.8
56,886,47.3
57,892,45.1
58,789,46.3
59,846,42.1
60,817,44.2
61,722,43.5
62,651,42.3
63,681,40.2
69,673,31.8
70,525,34
